ID,Согласие,Приоритет,Балл_Физика/ИКТ,Балл_Русский,Балл_Математика,Балл_ИД,Сумма_баллов
1,0,1,64,93,68,0,225
2,0,3,67,95,71,0,233
3,0,3,73,95,87,1,256
9,0,3,57,63,53,5,178
10,0,2,60,99,66,0,225
11,0,1,88,98,70,5,261
12,0,2,94,77,93,1,265
13,0,1,71,57,65,0,193
14,0,1,68,93,63,1,225
15,0,2,64,85,69,1,219
16,0,2,67,76,98,2,243
17,0,2,68,97,86,0,251
18,0,1,53,77,67,0,197
19,0,3,83,90,87,2,262
20,0,3,63,96,51,0,210
21,0,2,54,69,51,1,175
22,0,3,70,100,82,2,254
23,0,3,84,75,76,5,240
63,0,1,72,76,96,3,247
64,0,2,54,99,83,0,236
65,0,1,76,56,80,0,212
66,0,2,45,94,80,0,219
67,0,1,94,78,72,3,247
68,0,1,69,79,95,1,244
69,0,2,78,88,55,1,222
70,0,1,71,83,94,1,249
71,0,2,97,97,93,0,287
72,0,2,91,83,83,0,257
73,0,2,94,70,66,0,230
74,0,2,51,63,85,2,201
75,0,2,65,85,75,0,225
76,0,2,70,94,69,1,234
77,0,1,49,100,95,0,244
78,0,2,69,95,91,0,255
79,0,2,50,82,90,5,227
80,0,1,95,97,87,0,279
81,0,1,72,82,95,2,251
82,0,1,95,59,46,0,200
102,0,1,71,73,89,1,234
103,0,2,47,93,88,2,230
104,0,2,79,96,76,1,252
105,0,1,79,80,46,2,207
106,0,1,80,88,72,2,242
107,0,2,91,52,80,0,223
108,0,1,73,69,83,0,225
109,0,1,63,61,75,3,202
110,0,1,63,50,76,0,189
111,0,1,90,99,67,3,259
112,0,2,59,69,73,3,204
113,0,2,78,77,93,3,251
114,0,2,45,98,97,5,245
115,0,1,66,66,80,0,212
116,0,2,52,52,48,0,152
117,0,2,76,71,83,1,231
118,0,1,47,63,60,2,172
119,0,1,44,78,47,2,171
120,0,2,76,79,89,2,246
121,0,2,62,98,60,3,223
122,0,1,41,96,78,0,215
123,0,2,82,92,78,10,262
124,0,2,76,92,95,0,263
125,0,2,64,80,71,1,216
126,0,2,74,73,88,2,237
127,0,2,41,82,63,1,187
128,0,2,75,82,53,0,210
129,0,1,64,77,60,0,201
130,0,1,63,88,97,3,251
131,0,1,51,94,77,1,223
132,0,2,63,97,88,2,250
133,0,1,54,93,94,0,241
134,0,2,56,96,61,0,213
135,0,2,70,100,71,5,246
136,0,2,58,89,79,1,227
137,0,2,60,62,71,1,194
138,0,1,91,60,56,0,207
139,0,2,48,97,99,3,247
140,0,2,96,86,78,0,260
