ID,Согласие,Приоритет,Балл_Физика/ИКТ,Балл_Русский,Балл_Математика,Балл_ИД,Сумма_баллов
1,0,3,64,93,68,0,225
2,0,2,67,95,71,0,233
3,0,1,73,95,87,1,256
4,0,3,58,92,78,3,231
5,0,2,67,73,73,0,213
6,0,1,88,60,76,1,225
7,0,3,44,95,84,10,233
8,0,3,42,55,85,10,192
9,0,1,57,63,53,5,178
10,0,1,60,99,66,0,225
11,0,3,88,98,70,5,261
12,0,3,94,77,93,1,265
13,0,2,71,57,65,0,193
19,0,2,83,90,87,2,262
20,0,1,63,96,51,0,210
21,0,3,54,69,51,1,175
22,0,2,70,100,82,2,254
23,0,1,84,75,76,5,240
24,0,1,62,72,88,2,224
25,0,1,57,91,83,0,231
26,0,2,72,99,58,5,234
27,0,2,45,84,48,1,178
28,0,1,90,78,90,10,268
29,0,2,77,67,95,0,239
30,0,1,74,100,78,0,252
31,0,1,77,56,85,0,218
32,0,2,70,59,71,1,201
33,0,2,70,90,72,5,237
34,0,2,70,92,89,0,251
35,0,2,100,97,72,1,270
36,0,1,61,76,100,1,238
37,0,1,78,90,62,5,235
38,0,2,68,86,47,1,202
39,0,1,65,77,83,0,225
40,0,1,81,68,75,5,229
41,0,2,100,78,78,3,259
42,0,1,65,89,88,0,242
43,0,2,71,95,58,0,224
44,0,2,68,91,51,0,210
45,0,1,67,76,48,0,191
46,0,2,93,73,73,1,240
47,0,1,62,73,79,1,215
48,0,1,75,100,81,3,259
49,0,1,50,78,76,1,205
50,0,2,72,69,89,1,231
51,0,1,76,80,75,1,232
52,0,2,78,79,48,2,207
53,0,2,46,87,48,0,181
54,0,1,57,88,87,2,234
55,0,2,55,51,47,2,155
56,0,1,99,78,95,0,272
57,0,2,90,80,64,0,234
58,0,1,68,71,64,0,203
59,0,2,88,89,62,0,239
60,0,1,62,89,75,0,226
61,0,2,54,81,96,2,233
62,0,2,79,86,71,3,239
63,0,2,72,76,96,3,247
64,0,1,54,99,83,0,236
65,0,2,76,56,80,0,212
66,0,1,45,94,80,0,219
67,0,2,94,78,72,3,247
68,0,2,69,79,95,1,244
69,0,1,78,88,55,1,222
70,0,2,71,83,94,1,249
71,0,1,97,97,93,0,287
72,0,1,91,83,83,0,257
73,0,1,94,70,66,0,230
74,0,1,51,63,85,2,201
75,0,1,65,85,75,0,225
76,0,1,70,94,69,1,234
77,0,2,49,100,95,0,244
78,0,1,69,95,91,0,255
79,0,1,50,82,90,5,227
80,0,2,95,97,87,0,279
81,0,2,72,82,95,2,251
82,0,2,95,59,46,0,200
