ID,Согласие,Приоритет,Балл_Физика/ИКТ,Балл_Русский,Балл_Математика,Балл_ИД,Сумма_баллов
1,0,3,60,95,67,0,222
2,0,2,66,91,76,0,233
4,0,3,56,89,80,3,228
5,0,2,68,76,75,0,219
6,1,1,86,65,80,1,232
7,0,3,44,91,88,10,233
8,0,3,40,59,88,10,197
9,0,1,53,68,51,5,177
10,0,1,62,94,68,0,224
11,0,3,91,100,75,5,271
12,0,3,89,75,97,6,267
13,1,2,66,53,67,6,192
19,0,2,82,88,83,10,263
20,1,1,58,94,49,9,210
21,0,3,49,67,46,1,163
22,0,2,65,97,85,2,249
23,0,1,88,75,80,5,248
24,0,1,61,69,93,2,225
25,0,1,60,95,80,0,235
26,0,2,72,100,63,5,240
27,0,2,46,81,47,1,175
28,0,1,88,77,87,10,262
29,0,2,78,70,98,0,246
30,1,1,79,96,80,0,255
31,0,2,75,51,84,0,210
32,0,2,68,63,76,1,208
33,1,2,70,89,67,5,231
34,0,2,72,90,93,0,255
35,0,2,100,96,73,1,270
36,0,1,61,79,100,1,241
37,1,1,78,88,62,5,233
38,0,2,65,81,46,1,193
39,0,1,64,74,81,0,219
40,0,1,83,71,80,5,239
41,0,2,100,83,80,3,266
42,0,1,62,92,90,0,244
43,1,2,66,98,53,0,217
44,0,2,63,86,52,0,201
45,0,1,64,71,46,0,181
46,1,2,98,77,75,1,251
47,0,1,63,68,74,1,206
48,0,1,70,100,86,3,259
49,0,1,46,81,73,1,201
50,0,2,72,68,90,6,236
51,1,1,74,79,80,1,234
52,0,2,83,74,44,2,203
53,0,2,51,82,45,6,184
54,0,1,53,91,82,2,228
55,0,2,59,53,46,1,159
56,1,1,100,82,100,5,287
57,0,2,87,81,60,0,228
58,0,1,69,76,67,0,212
59,0,2,84,92,62,6,244
60,0,1,66,93,79,0,238
62,0,2,81,88,69,3,241
63,0,2,77,80,100,3,260
64,0,1,52,95,79,0,226
65,1,2,73,57,80,0,210
66,1,1,47,94,79,0,220
68,1,2,72,82,98,1,253
70,0,2,67,87,98,1,253
71,0,1,98,93,96,0,287
72,0,1,88,88,84,0,260
73,0,1,91,66,63,0,220
74,0,1,47,63,84,2,196
75,0,1,69,83,77,0,229
76,0,1,70,98,70,1,239
77,0,2,54,100,92,0,246
79,0,1,52,82,87,5,226
80,0,2,100,99,91,0,290
81,1,2,73,82,91,2,248
82,0,2,92,64,49,7,212
161,0,2,40,79,80,1,200
162,1,4,64,72,92,0,228
163,0,4,47,52,89,10,198
165,1,1,61,70,57,10,198
168,0,3,74,85,88,1,248
169,1,1,51,59,94,0,204
170,1,4,87,73,47,2,209
172,0,2,80,84,47,0,211
173,0,3,76,89,71,0,236
174,0,1,58,99,95,3,255
