ID,Согласие,Приоритет,Балл_Физика/ИКТ,Балл_Русский,Балл_Математика,Балл_ИД,Сумма_баллов
1,0,4,60,95,67,0,222
2,0,4,66,91,76,0,233
4,0,2,56,89,80,3,228
5,0,1,68,76,75,0,219
6,1,2,86,65,80,1,232
7,0,2,44,91,88,10,233
8,0,1,40,59,88,10,197
9,0,2,53,68,51,5,177
10,0,3,62,94,68,0,224
11,0,2,91,100,75,5,271
12,0,1,89,75,97,6,267
13,1,3,66,53,67,6,192
14,0,2,73,98,64,1,236
15,0,3,65,86,65,1,217
16,0,3,72,76,94,2,244
17,0,1,66,92,81,0,239
18,0,2,54,80,68,0,202
24,0,2,61,69,93,2,225
25,0,2,60,95,80,0,235
26,0,1,72,100,63,5,240
27,0,1,46,81,47,1,175
28,0,2,88,77,87,10,262
29,0,1,78,70,98,0,246
30,1,2,79,96,80,0,255
31,0,1,75,51,84,0,210
32,0,1,68,63,76,1,208
33,1,1,70,89,67,5,231
34,0,1,72,90,93,0,255
35,0,1,100,96,73,1,270
36,0,2,61,79,100,1,241
37,1,2,78,88,62,5,233
38,0,1,65,81,46,1,193
39,0,2,64,74,81,0,219
40,0,2,83,71,80,5,239
41,0,1,100,83,80,3,266
42,0,2,62,92,90,0,244
43,1,1,66,98,53,0,217
44,0,1,63,86,52,0,201
45,0,2,64,71,46,0,181
83,1,1,74,96,50,1,221
84,0,1,47,69,97,1,214
86,0,2,87,79,56,5,227
87,0,2,66,58,68,0,192
88,1,2,47,100,89,0,236
89,1,2,75,98,90,1,264
90,0,1,55,95,79,1,230
91,0,2,60,93,72,1,226
92,0,2,78,65,45,3,191
94,1,2,92,64,86,3,245
95,0,2,60,55,80,0,195
96,0,2,77,83,53,0,213
97,0,2,61,86,68,1,216
98,1,2,79,77,60,5,221
99,0,1,46,68,70,2,186
100,1,1,75,71,79,0,225
101,0,1,87,64,77,2,230
102,0,2,66,71,87,1,225
103,0,1,51,89,91,2,233
104,0,1,78,100,78,1,257
105,0,2,83,81,50,2,216
106,0,2,77,93,71,2,243
107,1,1,91,48,78,0,217
108,0,2,76,70,84,0,230
109,0,2,65,66,78,3,212
110,1,2,66,47,78,0,191
111,0,2,94,94,67,3,258
112,0,1,60,72,76,3,211
113,0,1,80,79,90,0,249
114,1,1,40,97,95,5,237
115,1,2,68,69,83,0,220
116,0,1,52,55,43,0,150
117,0,1,77,67,88,1,233
118,1,2,49,62,60,2,173
119,0,2,40,76,45,2,163
120,1,1,80,84,90,2,256
121,0,1,60,93,64,3,220
122,0,2,41,95,77,0,213
123,0,1,87,88,75,10,260
141,0,1,59,91,93,3,246
142,0,1,77,85,70,3,235
143,0,1,49,100,96,0,245
144,0,1,53,92,84,2,231
145,0,1,47,78,92,0,217
146,0,1,76,94,61,10,241
148,0,1,61,88,97,5,251
149,0,1,39,88,81,2,210
151,1,1,79,75,100,3,257
152,1,1,48,83,89,0,220
153,0,1,53,63,65,4,185
154,0,1,77,100,95,5,277
155,0,1,68,68,100,5,241
156,0,1,85,47,57,2,191
157,0,1,95,99,53,3,250
158,0,1,62,95,73,2,232
159,0,1,70,94,56,0,220
162,1,2,64,72,92,0,228
163,0,3,47,52,89,10,198
164,1,2,71,82,85,2,240
167,0,1,71,81,88,2,242
168,0,2,74,85,88,1,248
169,1,2,51,59,94,0,204
170,1,3,87,73,47,2,209
171,1,1,86,63,58,0,207
172,0,4,80,84,47,0,211
173,0,2,76,89,71,0,236
174,0,2,58,99,95,3,255
175,0,1,79,61,81,1,222
