ID,Согласие,Приоритет,Балл_Физика/ИКТ,Балл_Русский,Балл_Математика,Балл_ИД,Сумма_баллов
2,1,1,67,91,71,2,231
4,1,1,56,91,77,3,227
6,0,3,89,68,80,1,238
7,1,1,49,95,89,10,243
8,0,3,44,61,87,10,202
14,1,3,67,96,67,1,231
15,1,1,67,90,67,1,225
16,1,1,67,75,90,2,234
17,0,3,67,98,76,0,241
18,0,2,51,78,69,0,198
19,1,1,86,98,89,10,283
20,1,2,57,95,51,1,204
21,1,1,51,68,56,5,180
22,1,1,68,91,88,1,248
23,1,2,98,75,88,3,264
46,1,1,90,70,71,1,232
48,1,2,80,100,82,3,265
49,1,2,36,76,64,1,177
50,1,1,66,66,88,6,226
51,1,2,68,79,80,1,228
52,1,1,82,73,46,2,203
54,1,2,47,89,78,2,216
55,1,1,55,52,53,1,161
56,1,2,98,80,98,2,278
57,1,1,81,79,56,0,216
58,1,2,77,71,67,0,215
59,1,1,80,99,62,6,247
60,1,2,57,85,81,0,223
62,1,1,82,97,78,3,260
83,1,2,73,90,48,1,212
84,0,2,48,72,94,1,215
86,1,1,87,81,54,5,227
87,1,1,65,48,63,0,176
88,1,1,51,96,84,0,231
89,1,1,78,100,84,1,263
90,1,2,46,98,81,1,226
94,1,1,87,66,80,3,236
96,1,1,75,92,51,0,218
97,0,1,62,89,74,1,226
98,1,1,75,83,68,6,232
99,0,2,47,73,69,2,191
100,1,2,77,70,74,0,221
101,1,2,88,65,77,2,232
124,1,1,67,99,98,8,272
125,1,1,63,81,79,1,224
126,1,1,90,71,86,2,249
127,1,1,44,83,65,10,202
128,1,1,80,82,49,10,221
129,1,1,63,81,70,0,214
131,1,2,52,90,80,1,223
132,1,1,65,98,91,10,264
133,0,2,46,90,99,0,235
134,1,1,53,97,65,0,215
135,1,1,72,100,71,10,253
136,1,1,60,95,79,1,235
137,1,1,63,65,67,1,196
138,0,2,96,60,56,5,217
139,1,1,44,96,98,6,244
140,1,1,92,83,82,0,257
160,1,2,64,93,98,0,255
161,1,1,44,82,83,7,216
162,1,3,62,74,87,0,223
163,1,2,47,53,80,10,190
164,1,1,77,87,90,2,256
166,1,1,78,85,94,0,257
170,1,1,83,76,52,2,213
172,1,3,83,77,38,2,200
173,1,4,77,82,75,0,234
176,1,2,53,97,76,4,230
177,1,1,68,68,88,7,231
179,1,2,91,57,68,1,217
180,0,2,53,98,89,0,240
181,1,2,47,58,62,0,167
184,1,2,52,88,87,5,232
185,1,1,68,92,81,5,246
186,1,1,43,69,98,0,210
188,1,2,98,91,79,10,278
192,0,3,95,61,49,0,205
195,1,3,62,69,72,3,206
196,1,1,62,96,60,2,220
202,0,2,78,53,66,0,197
205,1,2,73,85,97,0,255
206,1,1,50,74,75,2,201
209,1,2,73,94,63,0,230
210,1,1,68,96,93,1,258
211,1,3,60,95,77,2,234
212,1,1,65,84,49,0,198
213,1,2,98,76,86,0,260
214,1,2,60,98,96,0,254
215,0,1,63,91,66,5,225
216,1,2,49,80,65,0,194
