ID,Согласие,Приоритет,Балл_Физика/ИКТ,Балл_Русский,Балл_Математика,Балл_ИД,Сумма_баллов
2,1,2,67,91,71,2,231
4,1,3,56,91,77,3,227
6,0,1,89,68,80,1,238
7,1,3,49,95,89,10,243
8,0,2,44,61,87,10,202
9,0,1,58,72,48,5,183
10,1,1,63,95,72,0,230
11,1,3,96,100,86,5,287
12,1,2,90,82,100,6,278
13,1,3,57,58,64,6,185
19,1,2,86,98,89,10,283
20,1,1,57,95,51,1,204
21,1,3,51,68,56,5,180
22,1,2,68,91,88,1,248
23,1,1,98,75,88,3,264
24,1,1,56,71,89,2,218
25,1,1,66,95,85,0,246
26,1,2,70,100,60,5,235
27,1,2,40,76,48,10,174
28,1,1,95,82,100,10,287
29,1,1,90,74,100,0,264
30,1,1,87,97,80,0,264
31,1,2,81,59,83,6,229
32,1,2,61,60,78,1,200
33,1,2,70,85,70,5,230
34,0,2,71,83,89,5,248
36,0,1,67,80,98,1,246
37,1,1,88,86,73,5,252
38,1,2,64,76,50,1,191
39,1,2,63,75,81,0,219
40,1,1,78,67,81,5,231
41,0,2,100,77,76,3,256
42,1,1,72,91,93,4,260
43,1,2,68,99,52,0,219
44,1,2,68,83,56,0,207
45,1,1,64,78,52,0,194
46,1,2,90,70,71,1,232
48,1,1,80,100,82,3,265
49,1,1,36,76,64,1,177
50,1,2,66,66,88,6,226
51,1,1,68,79,80,1,228
52,1,2,82,73,46,2,203
54,1,1,47,89,78,2,216
55,1,2,55,52,53,1,161
56,1,1,98,80,98,2,278
57,1,2,81,79,56,0,216
58,1,1,77,71,67,0,215
59,1,2,80,99,62,6,247
60,1,1,57,85,81,0,223
62,1,2,82,97,78,3,260
64,1,1,55,91,79,9,234
66,1,1,51,88,75,0,214
68,1,2,80,77,100,1,258
70,1,2,79,90,100,1,270
71,1,1,100,92,100,2,294
73,0,1,93,62,67,0,222
74,1,1,49,62,76,2,189
75,1,1,84,79,89,10,262
77,1,2,52,100,98,0,250
79,1,1,54,85,85,5,229
80,1,2,100,100,100,7,307
81,1,1,81,91,92,2,266
82,0,2,98,63,50,10,221
161,1,2,44,82,83,7,216
162,1,4,62,74,87,0,223
163,1,4,47,53,80,10,190
165,1,1,57,63,58,10,188
168,1,1,84,87,97,1,269
169,1,1,56,64,91,0,211
170,1,4,83,76,52,2,213
172,1,2,83,77,38,2,200
173,1,3,77,82,75,0,234
174,1,1,59,89,97,3,248
177,1,2,68,68,88,7,231
178,1,2,55,69,100,10,234
181,1,1,47,58,62,0,167
182,1,1,48,88,94,0,230
188,1,1,98,91,79,10,278
190,1,1,69,89,61,1,220
194,1,1,76,96,63,1,236
195,1,1,62,69,72,3,206
198,1,1,95,62,46,0,203
199,1,2,51,80,74,1,206
200,1,1,76,87,97,2,262
203,1,1,49,90,70,2,211
208,1,1,66,86,59,1,212
213,1,3,98,76,86,0,260
214,1,3,60,98,96,0,254
216,1,4,49,80,65,0,194
218,1,3,77,96,100,3,276
