ID,Согласие,Приоритет,Балл_Физика/ИКТ,Балл_Русский,Балл_Математика,Балл_ИД,Сумма_баллов
1,0,1,60,95,67,0,222
2,0,3,66,91,76,0,233
9,0,3,53,68,51,5,177
10,0,2,62,94,68,0,224
11,0,1,91,100,75,5,271
12,0,2,89,75,97,6,267
13,1,1,66,53,67,6,192
14,0,1,73,98,64,1,236
15,0,2,65,86,65,1,217
16,0,2,72,76,94,2,244
17,0,2,66,92,81,0,239
18,0,1,54,80,68,0,202
19,0,3,82,88,83,10,263
20,1,3,58,94,49,9,210
21,0,2,49,67,46,1,163
22,0,3,65,97,85,2,249
23,0,3,88,75,80,5,248
63,0,1,77,80,100,3,260
64,0,2,52,95,79,0,226
65,1,1,73,57,80,0,210
66,1,2,47,94,79,0,220
68,1,1,72,82,98,1,253
70,0,1,67,87,98,1,253
71,0,2,98,93,96,0,287
72,0,2,88,88,84,0,260
73,0,2,91,66,63,0,220
74,0,2,47,63,84,2,196
75,0,2,69,83,77,0,229
76,0,2,70,98,70,1,239
77,0,1,54,100,92,0,246
79,0,2,52,82,87,5,226
80,0,1,100,99,91,0,290
81,1,1,73,82,91,2,248
82,0,1,92,64,49,7,212
102,0,1,66,71,87,1,225
103,0,2,51,89,91,2,233
104,0,2,78,100,78,1,257
105,0,1,83,81,50,2,216
106,0,1,77,93,71,2,243
107,1,2,91,48,78,0,217
108,0,1,76,70,84,0,230
109,0,1,65,66,78,3,212
110,1,1,66,47,78,0,191
111,0,1,94,94,67,3,258
112,0,2,60,72,76,3,211
113,0,2,80,79,90,0,249
114,1,2,40,97,95,5,237
115,1,1,68,69,83,0,220
116,0,2,52,55,43,0,150
117,0,2,77,67,88,1,233
118,1,1,49,62,60,2,173
119,0,1,40,76,45,2,163
120,1,2,80,84,90,2,256
121,0,2,60,93,64,3,220
122,0,1,41,95,77,0,213
123,0,2,87,88,75,10,260
124,1,2,75,97,92,0,264
125,1,2,64,78,76,1,219
126,0,2,79,74,89,2,244
127,0,2,37,83,66,1,187
128,0,2,77,84,53,0,214
129,0,1,60,79,65,0,204
130,0,1,66,89,95,3,253
131,1,1,51,93,77,1,222
132,0,2,63,100,83,10,256
133,0,1,50,90,96,0,236
134,0,2,53,100,60,0,213
135,0,2,75,100,70,10,255
136,0,2,59,94,78,1,232
137,1,2,56,58,66,1,181
138,0,1,94,65,58,5,222
139,1,2,49,94,100,6,249
140,1,2,92,86,78,0,256
160,0,1,64,98,98,0,260
162,1,1,64,72,92,0,228
163,0,1,47,52,89,10,198
165,1,2,61,70,57,10,198
166,1,2,77,85,96,0,258
168,0,1,74,85,88,1,248
170,1,2,87,73,47,2,209
172,0,1,80,84,47,0,211
173,0,1,76,89,71,0,236
