ID,Согласие,Приоритет,Балл_Физика/ИКТ,Балл_Русский,Балл_Математика,Балл_ИД,Сумма_баллов
2,0,1,66,86,71,0,223
4,0,1,52,92,80,3,227
5,0,3,69,80,71,0,220
6,0,3,87,70,82,1,240
7,0,1,48,91,86,10,235
8,0,2,39,56,85,10,190
14,0,3,70,99,66,1,236
15,0,1,67,90,70,1,228
16,0,1,67,75,89,2,233
17,0,3,63,93,78,0,234
18,0,3,50,80,72,0,202
19,0,1,83,93,80,10,266
20,1,2,58,92,47,9,206
21,0,1,52,66,51,1,170
22,0,1,62,92,85,1,240
23,1,2,92,77,78,3,250
46,1,1,95,73,74,1,243
48,0,2,73,100,81,3,257
49,0,2,41,79,68,1,189
50,0,1,71,68,92,6,237
51,1,2,69,77,80,1,227
52,1,1,85,78,47,2,212
54,1,2,49,90,77,2,218
55,0,1,57,51,51,1,160
56,1,2,100,77,100,2,279
57,0,1,82,79,59,0,220
58,0,2,74,75,68,0,217
59,0,1,82,94,61,6,243
60,0,2,62,88,82,0,232
62,0,1,84,93,73,3,253
83,1,2,69,91,53,1,214
84,0,2,50,67,92,1,210
86,0,1,87,78,53,5,223
87,0,1,62,53,67,0,182
88,1,1,50,100,90,0,240
89,1,1,77,98,88,1,264
90,1,2,50,93,77,1,221
92,0,1,82,68,42,3,195
94,1,1,93,69,85,3,250
96,1,1,72,88,49,0,209
97,0,1,62,88,69,1,220
98,1,1,77,82,65,6,230
99,0,2,45,72,74,2,193
100,1,2,78,75,75,0,228
101,0,2,91,62,76,2,231
124,0,1,71,98,93,8,270
125,1,1,68,82,81,1,232
126,1,1,84,76,89,2,251
127,0,1,39,83,69,1,192
128,0,1,77,86,49,10,222
129,0,1,65,78,68,0,211
131,1,2,53,90,78,1,222
132,1,1,64,98,85,10,257
133,0,2,51,85,100,0,236
134,0,1,55,100,65,0,220
135,0,1,70,100,65,10,245
136,0,1,62,91,82,1,236
137,1,1,61,62,70,1,194
138,0,2,98,63,57,5,223
139,1,1,46,91,100,6,243
140,1,1,95,86,81,0,262
160,0,2,67,96,95,0,258
161,0,1,43,82,81,3,209
162,1,3,64,72,91,0,227
163,0,2,50,57,84,10,201
164,0,1,76,86,89,2,253
166,1,1,80,88,98,0,266
170,1,1,85,78,48,2,213
172,0,3,80,79,43,2,204
173,0,4,80,87,70,0,237
176,1,2,49,97,81,0,227
177,0,1,72,67,85,5,229
179,0,2,96,61,64,1,222
180,0,2,51,94,90,0,235
181,0,2,43,58,65,0,166
184,0,2,48,87,86,1,222
185,0,1,72,87,82,5,246
186,0,1,44,66,95,0,205
188,0,1,97,91,68,10,266
192,0,3,100,63,45,0,208
195,0,3,63,69,77,3,212
196,0,1,62,94,61,2,219
197,0,2,81,79,57,0,217
