ID,Согласие,Приоритет,Балл_Физика/ИКТ,Балл_Русский,Балл_Математика,Балл_ИД,Сумма_баллов
1,0,2,60,95,67,0,222
2,0,1,66,91,76,0,233
4,0,1,56,89,80,3,228
5,0,3,68,76,75,0,219
6,1,3,86,65,80,1,232
7,0,1,44,91,88,10,233
8,0,2,40,59,88,10,197
14,0,3,73,98,64,1,236
15,0,1,65,86,65,1,217
16,0,1,72,76,94,2,244
17,0,3,66,92,81,0,239
18,0,3,54,80,68,0,202
19,0,1,82,88,83,10,263
20,1,2,58,94,49,9,210
21,0,1,49,67,46,1,163
22,0,1,65,97,85,2,249
23,0,2,88,75,80,5,248
46,1,1,98,77,75,1,251
47,0,2,63,68,74,1,206
48,0,2,70,100,86,3,259
49,0,2,46,81,73,1,201
50,0,1,72,68,90,6,236
51,1,2,74,79,80,1,234
52,0,1,83,74,44,2,203
53,0,1,51,82,45,6,184
54,0,2,53,91,82,2,228
55,0,1,59,53,46,1,159
56,1,2,100,82,100,5,287
57,0,1,87,81,60,0,228
58,0,2,69,76,67,0,212
59,0,1,84,92,62,6,244
60,0,2,66,93,79,0,238
62,0,1,81,88,69,3,241
83,1,2,74,96,50,1,221
84,0,2,47,69,97,1,214
86,0,1,87,79,56,5,227
87,0,1,66,58,68,0,192
88,1,1,47,100,89,0,236
89,1,1,75,98,90,1,264
90,0,2,55,95,79,1,230
91,0,1,60,93,72,1,226
92,0,1,78,65,45,3,191
94,1,1,92,64,86,3,245
95,0,1,60,55,80,0,195
96,0,1,77,83,53,0,213
97,0,1,61,86,68,1,216
98,1,1,79,77,60,5,221
99,0,2,46,68,70,2,186
100,1,2,75,71,79,0,225
101,0,2,87,64,77,2,230
124,1,1,75,97,92,0,264
125,1,1,64,78,76,1,219
126,0,1,79,74,89,2,244
127,0,1,37,83,66,1,187
128,0,1,77,84,53,0,214
129,0,2,60,79,65,0,204
130,0,2,66,89,95,3,253
131,1,2,51,93,77,1,222
132,0,1,63,100,83,10,256
133,0,2,50,90,96,0,236
134,0,1,53,100,60,0,213
135,0,1,75,100,70,10,255
136,0,1,59,94,78,1,232
137,1,1,56,58,66,1,181
138,0,2,94,65,58,5,222
139,1,1,49,94,100,6,249
140,1,1,92,86,78,0,256
160,0,2,64,98,98,0,260
161,0,1,40,79,80,1,200
162,1,3,64,72,92,0,228
163,0,2,47,52,89,10,198
164,1,1,71,82,85,2,240
166,1,1,77,85,96,0,258
170,1,1,87,73,47,2,209
172,0,3,80,84,47,0,211
173,0,4,76,89,71,0,236
