ID,Согласие,Приоритет,Балл_Физика/ИКТ,Балл_Русский,Балл_Математика,Балл_ИД,Сумма_баллов
2,0,3,66,86,71,0,223
9,0,3,54,72,46,5,177
10,0,2,66,92,73,0,231
11,1,1,87,98,75,5,265
12,0,1,85,80,100,6,271
13,1,1,62,53,66,6,187
14,0,1,70,99,66,1,236
15,0,2,67,90,70,1,228
16,0,2,67,75,89,2,233
17,0,2,63,93,78,0,234
18,0,1,50,80,72,0,202
19,0,3,83,93,80,10,266
20,1,3,58,92,47,9,206
21,0,2,52,66,51,1,170
22,0,3,62,92,85,1,240
23,1,3,92,77,78,3,250
63,0,1,73,80,99,3,255
64,0,2,57,94,77,0,228
65,0,1,77,58,85,0,220
66,1,2,46,93,80,0,219
68,1,1,76,80,98,1,255
70,0,1,69,92,98,1,260
71,0,2,100,90,95,2,287
72,0,2,91,85,89,0,265
73,0,2,89,65,64,0,218
74,0,2,46,65,80,2,193
75,0,2,73,79,79,0,231
76,0,2,71,100,69,1,241
77,0,1,52,100,93,0,245
79,0,2,49,82,84,5,220
80,0,1,97,99,96,7,299
81,1,1,70,86,88,2,246
82,0,1,96,65,54,7,222
102,0,1,67,70,84,7,228
103,1,2,53,89,89,10,241
104,1,2,82,100,80,1,263
105,0,1,79,80,55,2,216
106,0,1,79,88,67,2,236
107,0,2,91,53,78,0,222
108,1,1,71,65,81,0,217
109,1,1,67,70,77,3,217
110,1,1,63,43,79,0,185
111,1,1,96,95,72,3,266
112,0,2,55,69,72,3,199
113,0,2,85,81,87,0,253
114,0,2,45,94,97,5,241
115,0,1,63,65,82,0,210
116,0,2,55,59,47,0,161
117,0,2,80,70,92,10,252
118,1,1,54,67,65,2,188
119,1,1,44,71,40,2,157
120,1,2,82,81,86,2,251
121,0,2,59,88,67,3,217
122,0,1,39,91,79,0,209
123,0,2,89,90,75,10,264
124,0,2,71,98,93,8,270
125,1,2,68,82,81,1,232
126,1,2,84,76,89,2,251
127,0,2,39,83,69,1,192
128,0,2,77,86,49,10,222
129,0,2,65,78,68,0,211
131,1,1,53,90,78,1,222
132,1,2,64,98,85,10,257
133,0,1,51,85,100,0,236
134,0,2,55,100,65,0,220
135,0,2,70,100,65,10,245
136,0,2,62,91,82,1,236
137,1,2,61,62,70,1,194
138,0,1,98,63,57,5,223
139,1,2,46,91,100,6,243
140,1,2,95,86,81,0,262
160,0,1,67,96,95,0,258
162,1,1,64,72,91,0,227
163,0,1,50,57,84,10,201
165,1,2,62,66,58,10,196
166,1,2,80,88,98,0,266
168,1,1,74,88,84,1,247
170,1,2,85,78,48,2,213
172,0,1,80,79,43,2,204
173,0,1,80,87,70,0,237
176,1,1,49,97,81,0,227
179,0,1,96,61,64,1,222
180,0,1,51,94,90,0,235
183,1,1,80,54,97,5,236
184,0,1,48,87,86,1,222
185,0,2,72,87,82,5,246
188,0,2,97,91,68,10,266
191,0,2,74,87,78,3,242
192,0,2,100,63,45,0,208
193,1,1,89,89,72,2,252
194,0,2,79,92,59,1,231
195,0,4,63,69,77,3,212
